PC=0000017c, [fae7fee3], x29=00000000, x15=00000004, x14=00000005 bgeu     a5, a4, -68
PC=00000180, [fe0403a3], x07=00000000, x08=00500000, x00=00000000 sb       zero, -25(s0)
PC=00000184, [fe040323], x06=00000000, x08=00500000, x00=00000000 sb       zero, -26(s0)
PC=00000188, [0480006f], x00=00000000, x00=00000000, x08=00500000 jal      zero, 72
PC=000001d0, [fe640703], x14=00000000, x08=00500000, x06=00000000 lb       a4, s0, -26
PC=000001d4, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=000001d8, [fae7dae3], x21=00000000, x15=00000004, x14=00000000 bge      a5, a4, -76
PC=0000018c, [fe842603], x12=00000005, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=00000190, [fec42683], x13=00000000, x08=00500000, x12=00000005 lw       a3, s0, -20
PC=00000194, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=00000198, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=0000019c, [00a60733], x14=00000006, x12=00000005, x10=00000001 add      a4, a2, a0
PC=000001a0, [00070813], x16=00000006, x14=00000006, x00=00000000 addi     a6, a4, 0
PC=000001a4, [00c83833], x16=00000000, x16=00000006, x12=00000005 sltu     a6, a6, a2
PC=000001a8, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=000001ac, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=000001b0, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=000001b4, [fee42423], x08=00500000, x08=00500000, x14=00000006 sw       a4, -24(s0)
PC=000001b8, [fef42623], x12=00000005, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=000001bc, [fe640783], x15=00000000, x08=00500000, x06=00000000 lb       a5, s0, -26
PC=000001c0, [0ff7f793], x15=00000000, x15=00000000, x31=00000000 andi     a5, a5, 255
PC=000001c4, [00178793], x15=00000001, x15=00000000, x01=00000108 addi     a5, a5, 1
PC=000001c8, [0ff7f793], x15=00000001, x15=00000001, x31=00000000 andi     a5, a5, 255
PC=000001cc, [fef40323], x06=00000000, x08=00500000, x15=00000001 sb       a5, -26(s0)
PC=000001d0, [fe640703], x14=00000001, x08=00500000, x06=00000000 lb       a4, s0, -26
PC=000001d4, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=000001d8, [fae7dae3], x21=00000000, x15=00000004, x14=00000001 bge      a5, a4, -76
PC=0000018c, [fe842603], x12=00000006, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=00000190, [fec42683], x13=00000000, x08=00500000, x12=00000006 lw       a3, s0, -20
PC=00000194, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=00000198, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=0000019c, [00a60733], x14=00000007, x12=00000006, x10=00000001 add      a4, a2, a0
PC=000001a0, [00070813], x16=00000007, x14=00000007, x00=00000000 addi     a6, a4, 0
PC=000001a4, [00c83833], x16=00000000, x16=00000007, x12=00000006 sltu     a6, a6, a2
PC=000001a8, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=000001ac, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=000001b0, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
